Pb;As;Hg;Zn;Cu;Ni;Fe;Ca;K;S;Sb;Sn;Al;P;Si
5,902;1,421;1,414;0,081;102,888;0,119;0,652;4,612;0,349;1,309;0,046;0,019;1,865;0;0
17,719;3,981;1,289;0,185;95,129;0,078;3,8;2,697;0,248;3,776;0,186;0,037;1,833;0;0
6,289;1,402;0,14;0;101,014;0,138;4,295;4,383;0,295;1,501;0,081;0,032;1,682;0,323;0,7
15,939;2,732;0,501;0;99,761;0,109;1,108;3,555;0,133;2,036;0,155;0,031;1,227;0;0
7,356;1,552;0,469;0,115;75,559;0,075;2,676;5,315;0,219;1,231;0,087;0,022;2,026;0;0
7,109;1,595;0,098;0;96,992;0,112;3,644;4,788;0,166;1,555;0,065;0,026;2;0;0,34
7,086;1,415;0,018;0,113;60,143;0,045;0,412;4,386;0,361;1,049;0,036;0,016;2,384;0;0,568
14,972;3,237;2,181;0,131;80,68;0,089;1,5;3,592;0,237;3,614;0,134;0,04;3,033;0;0
11,936;2,608;0,446;0,138;80,533;0,059;1,295;2,418;0,199;2,411;0,08;0,036;2,292;0;0
6,318;1,375;0,097;0;114,096;0,154;5,759;6,619;0,309;1,327;0,043;0,017;2,417;0,421;1,845
11,943;2,49;1,287;0,148;72,849;0,042;2,154;3,207;0,181;2,44;0,128;0,038;2,402;0;0
12,421;2,564;0,843;0,134;57,248;0,04;1,339;4,695;0,138;2,462;0,183;0,029;3,098;0;0
17,084;3,649;0,918;0,188;67,355;0,051;2,329;3,416;0,223;3,692;0,208;0,038;2,159;0;0
9,315;1,877;0,498;0,135;72,172;0,067;5,323;4,566;0,362;1,171;0,124;0,024;1,62;0;1,4
8,55;1,962;0,351;0;120,337;0,154;1,542;1,664;0,459;1,701;0,121;0,035;2,212;0;0,961
19,601;3,364;0,988;0,194;36,167;0;1,987;5,083;0,159;2,733;0,216;0,034;0;0;0,685
12,974;2,826;0,567;0,174;88,882;0,1;3,021;2,694;0,223;2,55;0,16;0,037;2,669;0;0
9,404;2,004;3,353;0,133;84,032;0,08;0,769;3,066;0,247;2,44;0,116;0,034;2,159;0;0
23,503;4,78;1,258;0,251;55,391;0;1,495;1,72;0,165;4,406;0,41;0,051;0;0;0,821
7,58;1,894;3,967;0;119,453;0,134;0,846;2,159;0,314;2,107;0,078;0,03;2,262;0;0
19,158;4,309;0,75;0,192;91,562;0,068;2,352;3,118;0,208;4,473;0,215;0,037;2,363;0;0
5,496;1,231;0,074;0;131,166;0,158;6,802;2,853;0,356;1,358;0,109;0,043;2,406;0,388;1,098
5,928;1,383;0,099;0;118,838;0,175;5,713;4,293;0,322;1,428;0,072;0,029;2,202;0,471;1,59
10,766;2,468;0,241;0;118,818;0,137;3,933;1,954;0,239;3,124;0,146;0,047;2,706;0;0
11,469;2,502;0,044;0,158;72,125;0,086;0,589;2,082;0,333;1,961;0,06;0,027;3,008;0;0
6,844;1,533;0,107;0;100,989;0,126;0,659;4,818;0,329;0,849;0,052;0,018;1,577;0;0,761
8,311;1,759;0,615;0,08;82,539;0,074;3,736;4,582;0,308;1,562;0,112;0,032;1,917;0;0,558
5,991;1,687;6,627;0;145,338;0,186;0,977;1,219;0,36;2,584;0,111;0,04;5,053;0;0
5,559;1,431;2,61;0,073;108,222;0,103;0,575;2,873;0,408;1,268;0,061;0,024;2,388;0;1,232
