XML;1.0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROJECT_NAME;Verones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUTHOR;DMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;14/09/22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;XRF;DUETTO_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUBE;XRF;Cu;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOT_SIZE;XRF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_CM;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_CM;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WIDTH_PIXEL;2644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEIGHT_PIXEL;3268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS_ORIGIN;TOP_LEFT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSITION;-;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
X;-;0.31051437;0.13350983;0.15242057;0.35287443;0.63048411;0.46785174;0.78177005;0.4285174;0.79652042;0.55295008;0.52496218;0.50340393;0.57337368;0.74848714;0.0994705;0.43683812;0.73108926;0.33396369;0.5102118;0.67549168;0.64447806;0.35476551;0.24205749;0.24886536;0.80484115;0.59114977;0.27004539;0.08320726;0.13691377
Y;-;0.62331701;0.48225214;0.5373317;0.44216646;0.47919217;0.24449204;0.5621175;0.84026928;0.65697674;0.11872705;0.43512852;0.73561812;0.67319461;0.27845777;0.55110159;0.34577723;0.69889841;0.4874541;0.61627907;0.40820073;0.25856793;0.11995104;0.20257038;0.36842105;0.75703794;0.78855569;0.52723378;0.63157895;0.74877601
XRF;Pb_Lα;442.4;853.7;434.4;1096.3;898.7;454.9;498.2;394.5;701.9;377.3;501.9;668.6;841.7;358.6;737.5;960.9;851.9;355.4;774.4;332.2;259.1;359.5;253.5;347.3;388.5;352.9;330.1;472.6;529.5
XRF;Pb_Mα;16.9;26.3;16.8;30.5;31.1;17.8;10.9;9.1;24.8;12.9;21.9;25.9;31.9;15.5;23.5;26.4;27.6;18.1;29.1;18.1;12.1;13.2;11.4;15.1;9.6;9.7;17.3;16.6;16.4
XRF;Hg_Lα;180.5;73.2;76.7;34.6;54.1;68.6;33.6;55.1;143.7;69.5;60.4;60.3;36.6;63.2;120.5;34.1;41.8;97.3;25.5;43.5;50.9;62.8;47.3;58.8;34.7;30.6;101.8;185.7;162.9
XRF;Hg_Mα ;7.1;4.1;3.4;3.1;3.4;3.9;2.3;2.6;5.8;3.9;3.6;3.9;3.6;3.4;4.3;2.9;3.2;5.6;3.2;3.4;3.8;3.8;2.5;2.2;1.9;1.9;4.6;6.7;4.9
XRF;Si ;39.8;32.4;39.6;28.6;35.9;42.8;210.1;180.3;67.8;50.7;38.9;50.7;38.6;48.4;34.4;24.2;49.1;35.9;36.5;40.6;73.8;58.5;58.1;45.3;202.4;198.4;35.1;57.8;51.9
XRF;Al ;10.4;8.3;9.1;7.9;9.5;9.9;24.6;26.2;13.3;10.4;9.3;9.9;9.4;9.4;7.5;7.2;11.1;9.9;9.1;9.3;12.5;10.9;10.2;9.4;31.9;25.9;8.1;12.1;12.2
XRF;K ;117.8;120.5;126.8;120.5;115.6;119.3;132.8;148.3;123.5;126.9;113.7;106.4;114.2;122.5;119.1;122.1;117.9;112.8;113.3;111.2;128.6;122.3;125.2;119.5;143.2;139.6;121.9;124.2;120.8
XRF;Sb ;5.3;11.4;7.9;3.3;8.5;3.2;5.9;7.7;2.7;3.9;9.3;13.2;8.8;7.8;8.7;5.2;9.4;5.4;6.9;7.3;4.9;9.8;7.3;9.3;4.7;4.7;6.6;5.9;10.7
XRF;P ;27.1;13.2;13.9;12.8;15.2;38.9;15.2;23.9;19.3;35.1;36.2;14.4;12.4;23.5;14.1;12.8;17.7;19.9;12.5;23.1;23.9;29.2;34.2;45.9;19.8;16.2;16.7;18.9;63.1
XRF;Ca;375.7;211.9;376.7;138.5;190.9;437.4;1176.5;1022.4;409.7;642.5;486.2;335.1;211.6;667.1;232.9;88.6;248.8;460.8;210.7;627.5;858.2;754.8;777.9;595.5;910.1;1150.2;508.8;385.1;564.4
XRF;S ;1025.7;1202.7;1015.5;1482.9;1390.7;1024.9;671.7;604.7;1315.6;761.2;1102.6;1184.4;1411.5;1043.7;1124.5;1382.3;1459.1;1126.9;1428.8;1149.6;862.5;756.8;770.1;1002.3;711.5;761.8;986.5;952.5;848.8
